pitch_variability,pause_ratio,speaking_rate,pitch_mean,jitter,voice_distress_z
21.55,0.2388,2.97,185.1,0.01232,0.455
29.04,0.1252,4.12,165.5,0.013,-0.889
15.51,0.3355,3.12,195.8,0.01864,1.45
31.82,0.05,4.96,157.1,0.01028,-1.773
25.27,0.266,4.06,158.5,0.0125,-0.041
28.7,0.1073,4.5,177.2,0.01571,-1.244
27.7,0.1484,3.86,140.7,0.01821,-0.59
24.63,0.3248,4.17,147.4,0.01494,0.341
28.05,0.0917,3.61,181.5,0.01759,-0.626
26.46,0.1674,3.39,147.4,0.01011,-0.433
16.54,0.2713,3.02,149.8,0.02216,1.101
26.76,0.2004,4.59,193.0,0.01602,-0.62
20.62,0.3711,3.08,154.1,0.016,1.085
30.53,0.1738,4.17,167.8,0.01054,-1.073
19.91,0.3219,2.88,172.4,0.02145,1.167
16.52,0.3563,3.09,140.1,0.02061,1.346
39.02,0.05,5.25,161.0,0.00798,-2.5
24.28,0.0735,4.28,171.7,0.01658,-0.9
23.14,0.3591,3.09,177.2,0.02021,0.981
24.44,0.2185,3.5,178.6,0.0133,0.03
22.81,0.2374,3.01,163.6,0.01483,0.39
29.72,0.2127,3.96,175.7,0.01068,-0.594
20.78,0.1897,3.23,155.7,0.01354,0.129
23.44,0.2207,3.33,143.8,0.01674,0.256
17.0,0.3299,2.83,159.5,0.02206,1.179
21.03,0.271,3.31,146.1,0.02054,0.638
25.61,0.2512,3.25,184.2,0.01201,0.26
24.55,0.1208,3.97,142.3,0.01194,-0.704
25.57,0.1743,3.89,169.1,0.01088,-0.384
26.79,0.2187,3.75,161.0,0.00874,-0.208
19.43,0.2583,3.44,168.2,0.0147,0.301
25.52,0.2089,3.53,185.5,0.01325,-0.107
23.04,0.2072,3.47,161.9,0.01589,-0.107
11.92,0.4265,2.5,199.1,0.03511,2.472
19.02,0.2821,2.67,176.0,0.02036,1.125
24.73,0.2173,4.08,162.7,0.01545,-0.422
14.36,0.3414,2.67,213.9,0.02181,1.845
26.89,0.2068,3.85,143.4,0.01703,-0.255
38.72,0.0597,5.07,184.3,0.0192,-2.238
29.58,0.1469,4.43,174.8,0.01359,-0.899
34.74,0.05,4.64,157.8,0.00902,-2.058
27.32,0.1449,3.68,189.4,0.01035,-0.688
21.36,0.2217,3.87,137.5,0.01299,-0.118
18.18,0.3663,2.88,177.3,0.02678,1.678
22.61,0.2389,3.23,150.8,0.01671,0.431
28.47,0.1831,3.48,171.2,0.01338,-0.312
17.97,0.2637,2.52,158.3,0.01866,1.181
39.8,0.05,4.86,171.5,0.01009,-2.276
24.25,0.2168,3.45,165.0,0.01509,0.093
20.87,0.3048,3.52,167.1,0.02373,0.791
32.6,0.05,4.52,170.8,0.01506,-1.625
17.21,0.335,3.37,174.7,0.02275,1.132
24.54,0.3299,3.2,152.7,0.0178,0.69
26.56,0.2194,4.17,207.0,0.01089,-0.42
16.59,0.349,3.09,165.3,0.01554,1.306
9.28,0.4627,2.58,159.0,0.02792,2.539
22.63,0.2849,3.06,154.6,0.01308,0.513
23.25,0.2159,3.53,149.0,0.01272,0.157
26.41,0.1483,3.26,177.4,0.01562,-0.269
31.11,0.05,3.99,169.8,0.01057,-1.317
15.53,0.3505,3.28,180.9,0.01623,1.211
29.0,0.196,3.91,159.4,0.01783,-0.592
19.97,0.205,3.25,161.7,0.01122,0.275
28.15,0.1621,4.12,159.4,0.01246,-0.753
21.18,0.2377,3.31,169.5,0.01719,0.413
23.0,0.2687,3.27,181.5,0.01126,0.51
16.57,0.3688,3.04,182.5,0.02401,1.546
29.36,0.0993,4.67,172.5,0.01391,-1.159
27.57,0.2094,4.09,172.5,0.01668,-0.394
30.55,0.1111,4.49,178.3,0.00996,-1.501
26.18,0.1801,3.98,169.3,0.0123,-0.388
23.08,0.2761,3.44,174.9,0.01514,0.292
18.42,0.2882,2.46,191.9,0.01885,1.278
30.78,0.1236,3.9,155.0,0.00764,-1.102
22.52,0.2984,2.98,162.6,0.01929,0.987
18.69,0.3944,2.29,163.5,0.01857,1.879
20.27,0.2781,3.03,172.7,0.01638,0.749
14.4,0.4165,1.97,159.7,0.02063,2.295
25.67,0.0918,4.01,171.9,0.00645,-0.897
31.99,0.0804,4.53,163.4,0.01446,-1.412
34.68,0.0781,4.91,182.0,0.01036,-1.894
12.03,0.3711,2.9,172.9,0.021,1.767
18.08,0.3118,2.95,169.8,0.02105,1.136
23.74,0.2851,3.05,181.8,0.01298,0.554
21.86,0.2895,2.92,189.1,0.01686,0.91
27.77,0.1112,3.84,154.8,0.0115,-0.779
11.33,0.4441,1.99,197.1,0.0396,2.833
23.79,0.1308,3.48,171.0,0.01122,-0.267
23.01,0.2242,3.24,171.9,0.01811,0.307
18.5,0.2795,3.3,169.8,0.01762,0.891
23.45,0.2837,3.27,190.0,0.01088,0.64
26.08,0.2362,3.48,139.3,0.01524,0.01
27.38,0.1281,4.38,158.7,0.01294,-0.876
20.18,0.196,2.99,177.4,0.01262,0.37
14.63,0.3706,2.69,194.4,0.02429,1.817
15.88,0.3736,2.86,201.4,0.02269,1.663
14.96,0.448,2.62,202.1,0.02579,2.168
28.29,0.165,4.15,160.7,0.00459,-0.667
25.62,0.1342,4.41,184.5,0.01516,-0.808
27.33,0.2455,3.39,154.3,0.01052,0.018
23.84,0.1931,3.51,179.6,0.00845,-0.271
17.16,0.3441,3.08,205.3,0.02358,1.4
33.13,0.05,4.45,183.2,0.01193,-1.591
15.51,0.4075,2.93,184.9,0.02788,1.827
21.41,0.2103,3.77,160.0,0.01331,-0.135
29.34,0.1892,4.38,142.1,0.012,-0.829
29.65,0.0875,3.7,169.7,0.01154,-0.966
33.99,0.0828,4.47,148.3,0.01345,-1.529
21.38,0.3857,2.87,163.0,0.01734,1.434
21.55,0.187,3.74,148.0,0.01003,-0.107
32.04,0.0774,3.82,158.1,0.01383,-1.254
30.59,0.0998,4.42,164.6,0.01157,-1.395
27.54,0.2179,3.6,169.1,0.0121,-0.215
10.57,0.3645,2.46,176.0,0.02862,2.267
25.23,0.0807,3.31,181.0,0.01166,-0.58
31.06,0.1241,4.29,161.9,0.01205,-1.102
26.22,0.2258,4.06,153.2,0.0102,-0.316
26.44,0.123,3.74,168.4,0.01329,-0.605
37.42,0.05,5.27,194.5,0.01305,-2.384
22.87,0.2773,4.13,170.0,0.0147,0.074
25.05,0.2548,3.81,159.6,0.01026,-0.235
18.38,0.3272,3.05,150.4,0.0162,1.14
15.51,0.3979,2.72,183.9,0.02917,1.945
17.07,0.336,2.82,182.0,0.02177,1.446
19.66,0.1879,3.6,159.2,0.00928,0.142
29.34,0.1545,3.75,140.0,0.01592,-0.594
7.77,0.4423,2.46,183.1,0.02749,2.707
20.41,0.1937,3.45,187.5,0.01483,0.232
21.45,0.2618,3.65,186.7,0.00832,0.149
24.35,0.2158,3.3,151.7,0.01766,0.133
25.57,0.2949,3.62,177.5,0.00895,0.163
25.42,0.1787,3.45,147.3,0.01546,-0.203
25.94,0.1604,3.87,186.1,0.01176,-0.433
27.92,0.1284,4.16,168.7,0.0109,-0.96
23.26,0.217,3.86,179.2,0.01256,-0.056
25.6,0.1065,3.89,139.3,0.0139,-0.674
25.61,0.1292,3.46,175.2,0.00929,-0.402
19.91,0.1732,4.44,166.2,0.0104,-0.27
24.62,0.2223,4.26,177.8,0.01395,-0.247
16.04,0.3991,2.99,196.8,0.01891,1.471
38.39,0.05,4.83,166.0,0.01025,-2.12
17.16,0.3825,2.97,169.1,0.02985,1.796
15.26,0.4445,2.75,191.6,0.01906,1.952
36.62,0.05,5.12,164.1,0.01544,-2.137
23.25,0.1601,3.87,151.9,0.01024,-0.423
27.59,0.2958,3.57,151.2,0.01353,-0.029
29.74,0.05,4.23,142.8,0.01396,-1.396
26.77,0.143,4.36,157.3,0.01539,-0.84
27.17,0.1161,4.69,181.5,0.0114,-1.172
13.36,0.449,3.09,188.7,0.03198,2.092
20.8,0.328,3.31,168.3,0.01772,0.815
18.04,0.3272,2.82,192.3,0.02288,1.344
21.99,0.2541,2.23,161.2,0.01851,0.93
31.25,0.0934,4.31,166.4,0.00863,-1.323
24.68,0.1273,3.89,162.3,0.01114,-0.522
20.65,0.2709,3.37,182.6,0.0164,0.787
29.16,0.0752,4.29,141.3,0.0107,-1.179
22.74,0.2315,2.81,160.8,0.02503,0.703
22.93,0.2462,3.9,140.4,0.00948,-0.045
27.85,0.1626,4.0,161.1,0.01554,-0.589
21.88,0.2404,3.41,191.7,0.02026,0.455
25.22,0.2577,3.64,162.7,0.01551,0.075
25.17,0.1866,3.98,157.3,0.0094,-0.363
19.05,0.2661,2.84,192.0,0.01897,0.847
34.51,0.1252,4.17,181.0,0.01045,-1.371
19.38,0.2397,3.29,171.1,0.01157,0.557
17.67,0.3478,3.31,182.4,0.01373,1.076
21.94,0.21,4.07,148.8,0.00755,-0.208
23.63,0.2366,3.61,189.6,0.01865,0.176
27.11,0.0651,4.91,197.2,0.01386,-1.484
18.17,0.3082,3.75,183.9,0.02175,0.912
25.89,0.226,3.73,133.7,0.01377,-0.207
27.25,0.1667,2.74,156.6,0.0125,-0.005
19.08,0.3162,3.39,186.8,0.02477,1.035
28.32,0.1519,3.83,158.7,0.01017,-0.767
34.3,0.055,4.13,184.1,0.01232,-1.581
30.66,0.0506,4.34,173.8,0.01424,-1.509
19.31,0.1972,3.13,161.7,0.01288,0.539
29.5,0.1309,4.49,165.5,0.02129,-1.079
16.01,0.4074,2.17,172.7,0.02612,2.107
37.25,0.05,4.42,162.3,0.01243,-2.022
15.57,0.4656,2.77,177.0,0.02934,2.097
25.21,0.2446,3.67,185.2,0.01643,0.188
22.18,0.1689,3.85,196.7,0.01211,-0.165
30.33,0.1998,3.66,143.5,0.01239,-0.5
24.85,0.2758,3.09,140.9,0.01068,0.341
25.68,0.232,3.47,161.3,0.01033,0.051
21.5,0.3133,3.07,155.5,0.02238,0.884
20.06,0.2494,3.98,167.1,0.01425,0.298
22.12,0.2246,2.9,178.0,0.01687,0.458
24.53,0.2059,3.73,187.4,0.01164,-0.211
25.76,0.1381,3.23,168.0,0.00784,-0.29
20.21,0.2334,2.94,165.8,0.01763,0.754
34.92,0.1179,4.83,135.3,0.01631,-1.571
34.16,0.0545,4.5,165.4,0.01469,-1.796
21.3,0.2702,3.33,175.0,0.01746,0.553
23.63,0.2192,3.78,176.6,0.0165,0.017
23.04,0.153,3.56,154.4,0.02229,-0.114
22.2,0.1335,3.46,158.7,0.01249,-0.068
24.59,0.2455,4.06,147.0,0.01085,-0.351
28.53,0.1715,3.82,130.6,0.01024,-0.682
28.2,0.1401,4.25,148.4,0.01388,-0.911
22.09,0.2338,3.49,143.8,0.00875,-0.048
25.33,0.1239,3.58,170.1,0.01251,-0.585
19.61,0.3017,2.76,162.1,0.01641,1.119
37.19,0.05,4.36,156.9,0.01661,-1.828
15.78,0.3,3.35,162.6,0.02416,1.281
21.78,0.256,3.58,122.2,0.01837,0.522
24.61,0.2688,3.73,190.7,0.00756,0.074
16.09,0.3748,2.76,161.8,0.02262,1.718
15.21,0.3614,3.17,178.8,0.02744,1.586
20.3,0.3254,2.75,155.3,0.02088,0.984
34.15,0.05,4.68,179.6,0.00681,-2.039
36.77,0.0523,4.3,167.2,0.00967,-1.862
24.1,0.1583,3.89,152.6,0.0085,-0.401
25.97,0.164,3.99,159.4,0.00616,-0.601
20.81,0.201,3.1,196.4,0.01613,0.34
29.54,0.1621,3.59,163.9,0.00961,-0.554
23.86,0.2233,3.5,164.5,0.02137,0.326
26.69,0.1526,3.9,150.9,0.01149,-0.521
27.82,0.1581,4.95,136.6,0.01588,-0.979
28.02,0.05,4.58,162.6,0.00729,-1.529
30.28,0.1259,3.98,169.9,0.01041,-0.908
32.03,0.05,4.03,181.5,0.01229,-1.403
30.64,0.1781,3.57,131.3,0.00928,-0.587
20.32,0.2711,2.71,160.8,0.01916,0.989
29.96,0.1172,4.16,156.3,0.01135,-1.083
9.82,0.4415,2.58,196.5,0.03236,2.533
19.52,0.2921,3.67,168.7,0.02151,0.694
21.56,0.2252,3.57,165.4,0.01461,0.31
31.09,0.1134,3.98,171.1,0.01344,-1.083
23.02,0.3242,3.3,159.9,0.01922,0.818
26.69,0.1636,3.76,179.0,0.01384,-0.395
23.42,0.2529,4.05,173.0,0.01273,-0.042
8.11,0.4368,2.14,190.9,0.03152,2.991
26.87,0.1542,3.63,189.0,0.0125,-0.492
19.01,0.3392,2.3,202.1,0.02466,1.718
31.75,0.1369,3.93,179.0,0.01538,-0.906
22.44,0.2416,3.87,119.7,0.01128,0.055
13.5,0.3939,2.31,209.9,0.02847,2.163
27.91,0.1655,3.72,176.9,0.01142,-0.548
15.32,0.3363,2.84,216.8,0.0266,1.588
19.68,0.3663,2.77,192.1,0.01624,1.231
25.35,0.1572,4.23,188.7,0.01146,-0.66
22.28,0.3111,3.09,185.8,0.02108,0.795
20.09,0.2838,2.95,196.9,0.02006,0.98
18.75,0.2945,2.92,202.4,0.01738,1.141
35.35,0.05,4.58,168.2,0.00766,-2.043
30.34,0.1654,4.74,141.4,0.01107,-1.027
25.63,0.181,3.97,160.4,0.01128,-0.457
24.57,0.2137,3.38,170.8,0.00951,-0.079
21.69,0.31,3.6,173.6,0.01703,0.661
21.3,0.1885,3.41,148.4,0.01213,0.093
31.4,0.0591,4.75,140.5,0.01224,-1.671
17.6,0.2763,3.63,158.4,0.01541,0.647
22.39,0.365,2.38,184.4,0.01402,1.23
17.8,0.2705,2.99,195.4,0.01528,0.991
21.06,0.3517,3.29,191.7,0.02088,0.992
18.75,0.2991,3.19,190.9,0.02222,0.892
21.05,0.3436,3.04,169.3,0.01644,1.072
23.13,0.1431,3.45,138.9,0.01001,-0.325
32.56,0.0577,3.94,158.2,0.0132,-1.456
24.47,0.1979,3.34,166.3,0.02056,0.22
17.88,0.1405,4.15,160.0,0.01641,-0.224
25.06,0.2591,3.69,169.1,0.01582,-0.073
31.7,0.0979,4.96,171.6,0.01418,-1.538
27.53,0.1005,4.46,177.8,0.01632,-1.077
16.06,0.3211,3.33,173.5,0.02365,1.21
27.57,0.34,4.21,136.4,0.0137,-0.002
18.36,0.2778,3.34,165.9,0.02066,0.869
21.54,0.2432,3.53,166.0,0.00898,0.181
26.11,0.197,3.89,183.7,0.00773,-0.31
19.52,0.3256,3.52,167.7,0.01998,0.767
24.96,0.1589,3.74,172.7,0.01221,-0.343
23.9,0.2132,3.33,170.5,0.01114,0.138
24.49,0.2465,3.9,165.7,0.01448,-0.078
28.59,0.2236,4.09,179.0,0.00641,-0.665
27.82,0.1946,4.01,155.1,0.0104,-0.479
23.84,0.15,3.05,159.0,0.01232,-0.108
27.36,0.1577,4.44,164.8,0.00709,-0.978
20.62,0.4537,2.72,170.5,0.02653,1.887
28.92,0.1213,4.01,172.6,0.00792,-0.973
22.66,0.2454,3.43,154.3,0.01023,0.098
27.32,0.2337,4.65,168.4,0.01472,-0.451
20.21,0.3735,2.88,180.9,0.02551,1.375
20.89,0.206,3.24,170.6,0.01025,0.246
17.6,0.2258,3.29,170.5,0.0223,0.747
33.0,0.0988,4.65,159.9,0.01287,-1.495
22.42,0.2141,3.4,169.6,0.02114,0.462
17.14,0.316,3.36,178.7,0.02033,0.94
25.79,0.1782,3.31,165.9,0.01223,-0.087
22.78,0.3159,2.87,203.4,0.01795,0.963
27.24,0.1696,3.28,150.1,0.00977,-0.317
14.44,0.3717,2.43,180.9,0.0208,1.973
8.26,0.4053,2.88,169.0,0.0345,2.521
26.51,0.2316,4.29,170.6,0.01205,-0.535
28.66,0.1516,3.86,148.3,0.0137,-0.539
16.96,0.2984,3.3,178.3,0.02817,1.032
15.31,0.3736,2.68,178.4,0.01756,1.608
25.7,0.1691,3.81,169.2,0.01584,-0.383
24.13,0.1844,3.85,156.7,0.01217,-0.114
27.22,0.2463,3.72,156.1,0.01331,-0.153
33.22,0.0761,4.27,186.5,0.00951,-1.538
25.96,0.1234,4.45,169.3,0.00973,-0.836
32.7,0.0755,4.2,156.6,0.01347,-1.434
29.37,0.176,4.24,161.2,0.01915,-0.802
26.99,0.2239,3.93,189.7,0.01501,-0.311
20.03,0.2266,3.59,164.3,0.01767,0.481
12.74,0.2989,2.46,173.3,0.02383,1.751
29.19,0.1779,3.74,154.7,0.0102,-0.445
19.59,0.2693,3.1,168.6,0.01753,0.855
28.77,0.1749,3.67,156.1,0.01054,-0.596
25.68,0.2294,3.65,145.8,0.00584,-0.18
19.8,0.2396,3.22,156.2,0.01522,0.5
28.12,0.05,4.99,152.6,0.01032,-1.688
24.36,0.1733,2.99,178.5,0.01453,0.454
21.16,0.2655,2.91,161.3,0.01373,0.792
24.55,0.2474,3.43,167.8,0.01703,0.302
21.84,0.366,3.33,187.5,0.01427,0.858
13.68,0.4258,2.34,213.9,0.0299,2.486
28.87,0.1194,4.13,160.8,0.00611,-0.972
26.65,0.1443,4.28,155.5,0.01027,-0.67
26.39,0.1674,3.49,152.0,0.00908,-0.22
26.37,0.1456,3.74,175.4,0.0134,-0.624
28.36,0.1808,4.08,161.9,0.01473,-0.708
17.61,0.2998,3.18,173.5,0.02433,1.038
15.0,0.3068,3.48,169.8,0.02563,1.122
26.81,0.091,4.2,153.5,0.0116,-0.974
28.74,0.05,4.04,169.8,0.01043,-1.285
17.15,0.2464,3.07,150.9,0.01353,0.975
27.95,0.1527,3.73,179.9,0.00748,-0.511
18.56,0.258,3.07,164.6,0.02004,0.865
20.58,0.29,3.68,165.2,0.0131,0.646
28.96,0.1175,4.51,144.9,0.00826,-1.097
11.9,0.3614,2.35,183.4,0.0219,2.043
11.41,0.3278,2.48,181.6,0.02377,1.778
25.95,0.1361,4.2,164.2,0.01213,-0.765
30.04,0.1572,3.92,187.1,0.0152,-0.796
21.38,0.2223,3.61,171.1,0.01324,0.206
22.52,0.2255,3.53,157.1,0.00792,0.095
21.18,0.2597,3.73,162.2,0.0167,0.365
13.21,0.4056,2.57,198.0,0.02761,2.213
24.82,0.1769,3.58,184.5,0.01133,-0.332
26.0,0.1485,3.76,169.2,0.01012,-0.498
34.49,0.0965,4.43,175.3,0.01265,-1.59
31.63,0.1105,3.27,174.1,0.0122,-0.777
20.82,0.2675,3.56,186.3,0.01193,0.495
12.08,0.3603,2.55,157.3,0.02759,1.96
26.29,0.1035,3.48,175.0,0.01071,-0.62
20.84,0.2576,3.2,182.4,0.01233,0.537
25.1,0.1857,3.85,144.9,0.01614,-0.308
16.01,0.3517,3.02,166.0,0.02319,1.567
14.43,0.3765,2.24,182.6,0.0347,2.167
29.3,0.2226,3.98,154.1,0.01568,-0.49
27.12,0.1979,3.9,157.8,0.01358,-0.459
20.31,0.2644,3.4,181.2,0.02314,0.767
22.46,0.229,3.26,186.2,0.01272,0.261
12.72,0.4716,2.15,203.4,0.02739,2.703
19.16,0.2489,3.77,159.4,0.01612,0.573
26.13,0.1507,3.91,152.3,0.01703,-0.498
22.47,0.1884,3.1,191.8,0.01951,0.394
18.18,0.3168,2.61,188.0,0.01898,1.464
16.33,0.2929,3.27,176.1,0.01968,1.143
19.6,0.2993,3.29,178.2,0.01656,0.823
17.99,0.2707,3.49,177.4,0.0219,0.848
17.42,0.2761,2.85,186.9,0.0183,0.986
20.34,0.3763,2.59,176.5,0.02414,1.468
17.66,0.3251,3.51,176.8,0.01651,0.904
25.93,0.1404,3.97,142.3,0.01285,-0.433
26.17,0.2779,3.57,156.4,0.011,0.039
21.91,0.3422,3.14,169.3,0.0199,0.908
27.68,0.182,4.04,159.4,0.01552,-0.624
22.96,0.2541,3.47,155.5,0.01179,0.312
27.3,0.0798,4.17,157.0,0.00907,-1.089
24.23,0.2168,3.77,142.6,0.01208,-0.018
16.77,0.3903,2.85,188.6,0.01991,1.69
23.82,0.2034,3.9,166.1,0.01087,-0.322
18.68,0.2091,2.87,140.0,0.01269,0.573
32.84,0.077,4.96,152.5,0.00748,-1.742
20.15,0.1786,2.68,179.0,0.01495,0.519
20.0,0.3514,3.06,164.6,0.02333,1.318
16.2,0.4003,2.4,180.5,0.03068,2.068
24.34,0.2095,3.73,163.9,0.00976,-0.234
21.99,0.2384,3.78,172.8,0.01501,0.144
26.61,0.2952,3.15,146.4,0.0157,0.334
13.66,0.394,2.81,192.2,0.0276,1.936
23.42,0.2011,3.48,153.0,0.01162,0.023
22.17,0.2122,3.54,168.1,0.01716,0.231
22.34,0.3127,3.25,171.8,0.01075,0.51
23.39,0.1637,3.53,159.3,0.01032,-0.19
23.87,0.2012,3.68,149.6,0.01249,-0.147
21.87,0.1954,3.34,163.0,0.01454,0.137
16.88,0.3775,3.1,202.3,0.01785,1.442
29.49,0.1238,4.45,144.6,0.01278,-1.171
24.12,0.2591,3.35,192.0,0.01119,0.37
28.69,0.1533,3.72,161.1,0.01117,-0.553
13.88,0.2694,3.13,179.9,0.02463,1.351
34.51,0.05,4.43,148.7,0.01473,-1.758
27.58,0.191,4.16,153.4,0.00901,-0.724
24.69,0.2644,3.12,162.0,0.01185,0.364
16.28,0.4238,2.21,168.1,0.02329,2.139
26.56,0.2296,3.48,161.9,0.01192,-0.117
27.99,0.1258,3.68,158.9,0.01003,-0.807
16.35,0.3763,2.54,215.3,0.03017,1.894
33.01,0.0793,4.21,147.5,0.01304,-1.456
35.9,0.05,5.03,166.5,0.01322,-2.049
26.12,0.3309,3.27,174.0,0.01172,0.529
28.54,0.1875,3.92,148.9,0.0155,-0.431
30.76,0.167,4.21,175.3,0.00354,-1.158
17.55,0.2276,3.27,167.5,0.02017,0.747
20.08,0.2942,3.46,130.5,0.01675,0.638
27.69,0.2529,4.06,174.9,0.0107,-0.424
31.33,0.05,4.07,148.2,0.01582,-1.369
17.97,0.3381,3.54,159.8,0.01879,1.094
20.71,0.2851,3.17,183.1,0.01739,0.729
27.72,0.1483,3.26,159.8,0.01302,-0.243
15.23,0.4244,2.64,200.9,0.03633,2.261
27.6,0.1463,3.93,183.2,0.01603,-0.661
32.17,0.05,4.64,155.3,0.0141,-1.581
26.2,0.1974,4.64,176.9,0.00926,-0.714
23.48,0.1488,3.39,153.7,0.01243,-0.238
21.83,0.1845,3.57,201.4,0.01151,0.146
24.37,0.2013,3.21,154.6,0.01447,0.135
19.55,0.2562,3.54,184.6,0.01524,0.511
30.63,0.0662,4.02,177.7,0.00863,-1.379
14.94,0.3968,2.62,187.1,0.02379,2.036
18.59,0.233,3.31,154.9,0.00945,0.532
21.96,0.3661,3.21,176.1,0.02139,1.114
24.29,0.2493,3.71,136.8,0.01216,0.015
20.74,0.2898,3.36,173.8,0.01574,0.735
20.9,0.2592,3.03,177.1,0.01881,0.797
19.19,0.3469,3.83,172.4,0.01542,0.732
23.86,0.2518,3.02,128.1,0.01597,0.352
20.48,0.4371,2.22,162.0,0.02324,1.978
23.23,0.241,3.63,156.1,0.01566,0.053
22.15,0.2359,2.88,177.9,0.01435,0.56
24.84,0.2657,3.95,169.3,0.01278,-0.043
13.41,0.369,2.69,179.7,0.02747,2.042
26.9,0.1864,4.15,174.5,0.01372,-0.582
14.36,0.449,3.03,171.2,0.02658,2.142
23.31,0.2295,3.26,174.2,0.01392,0.226
31.43,0.0532,4.22,172.1,0.01336,-1.354
23.11,0.2718,3.51,172.2,0.01529,0.531
27.58,0.1519,4.44,162.3,0.00593,-1.07
19.48,0.3315,2.94,202.5,0.01406,1.11
25.47,0.0686,3.78,172.4,0.01501,-0.546
25.02,0.1933,3.99,150.5,0.00748,-0.416
31.82,0.05,4.47,168.7,0.0132,-1.583
28.44,0.2409,3.89,176.3,0.01094,-0.282
33.12,0.05,4.47,156.2,0.00901,-1.73
35.02,0.0712,5.14,181.3,0.01305,-2.145
22.59,0.3155,2.78,179.9,0.01869,1.056
19.07,0.2586,3.07,139.3,0.02462,0.745
16.45,0.3275,3.36,174.6,0.01353,1.032
28.6,0.203,4.71,158.9,0.01632,-0.705
24.13,0.2309,3.23,173.1,0.01306,0.194
22.0,0.2833,4.2,179.2,0.01002,0.036
29.34,0.0814,4.46,167.9,0.0144,-1.209
18.79,0.3385,2.9,208.0,0.02572,1.286
20.5,0.3094,2.82,172.8,0.01913,0.961
23.37,0.2153,3.89,174.4,0.0128,-0.079
20.66,0.2069,3.37,177.4,0.01042,0.225
22.2,0.2623,3.87,166.0,0.01119,0.06
34.8,0.05,4.43,176.7,0.01428,-1.694
26.35,0.1553,3.7,156.1,0.01133,-0.44
26.68,0.1726,3.81,158.7,0.01176,-0.497
30.53,0.1544,3.85,145.3,0.01284,-0.818
29.42,0.1987,3.98,168.6,0.0128,-0.556
15.74,0.4459,2.77,191.5,0.02209,2.097
20.38,0.2354,3.61,190.4,0.02099,0.403
26.78,0.1816,3.38,176.9,0.01236,-0.18
20.14,0.2304,3.6,167.6,0.01597,0.393
18.66,0.3154,3.58,164.1,0.02449,1.006
17.66,0.2872,2.96,182.6,0.02011,1.103
23.76,0.1883,4.14,182.4,0.01478,-0.393
27.66,0.1334,3.88,176.3,0.01361,-0.735
19.16,0.2813,2.8,189.6,0.01974,1.071
19.09,0.2928,3.29,166.5,0.0192,1.012
19.72,0.2967,3.42,168.7,0.02181,0.784
20.38,0.2201,3.0,161.6,0.0166,0.637
19.23,0.3706,2.84,176.8,0.01703,1.329
25.88,0.133,4.07,163.8,0.017,-0.616
19.2,0.3494,2.88,183.9,0.02183,1.447
21.16,0.2576,3.67,165.4,0.01216,0.372
16.01,0.4355,2.53,187.9,0.02339,1.972
24.3,0.1948,4.12,153.3,0.01302,-0.393
15.32,0.4128,2.52,200.0,0.02633,2.17
23.86,0.2053,3.56,168.5,0.00904,-0.068
25.99,0.242,3.68,162.4,0.01336,-0.142
27.51,0.1794,4.25,153.8,0.01051,-0.779
28.32,0.1821,3.59,145.0,0.02007,-0.251
17.23,0.301,3.71,189.7,0.01369,0.828
22.13,0.2823,3.24,179.6,0.01488,0.588
22.17,0.1786,3.98,140.6,0.00938,-0.07
22.2,0.3173,3.46,176.4,0.01583,0.708
15.48,0.4232,2.12,204.5,0.02802,2.291
13.33,0.38,2.13,187.6,0.02365,2.13
19.25,0.2683,3.04,194.2,0.01761,0.764
23.4,0.2667,3.48,168.7,0.00816,0.257
27.48,0.1717,3.6,145.2,0.01484,-0.419
16.96,0.2027,3.57,177.8,0.02225,0.679
27.52,0.0942,4.03,168.7,0.0137,-0.804
28.41,0.1289,3.48,156.0,0.01391,-0.528
36.89,0.05,4.08,173.6,0.01461,-1.81
21.6,0.28,3.52,144.8,0.02032,0.51
17.96,0.2491,3.66,187.6,0.02081,0.712
30.85,0.1146,4.25,151.8,0.01332,-1.197
18.53,0.3802,2.95,169.1,0.0273,1.637
32.1,0.1319,4.47,163.3,0.00934,-1.281
30.43,0.05,4.91,171.5,0.01433,-1.682
22.67,0.2753,3.58,170.2,0.01078,0.253
17.92,0.3574,3.22,166.4,0.01928,1.239
15.4,0.4266,2.58,177.6,0.01622,1.958
29.43,0.2229,3.44,148.0,0.0132,-0.162
19.83,0.4159,2.8,174.6,0.0187,1.481
22.06,0.2019,3.62,181.1,0.01533,0.068
27.7,0.2071,3.71,164.9,0.01317,-0.32
19.77,0.2917,3.69,188.5,0.02244,0.738
21.79,0.2853,3.27,194.7,0.01397,0.524
35.6,0.1237,4.82,156.2,0.01512,-1.756
13.66,0.3139,2.66,179.9,0.03013,1.807
16.34,0.3236,2.75,214.1,0.02533,1.389
26.38,0.2125,3.55,186.7,0.01437,-0.019
18.69,0.3004,3.16,144.7,0.01568,0.919
21.98,0.2549,3.49,176.7,0.01438,0.239
27.59,0.2802,3.46,168.1,0.01637,0.116
23.35,0.1786,4.19,177.4,0.00748,-0.436
27.63,0.2128,4.02,153.8,0.01075,-0.515
25.42,0.2204,3.51,152.4,0.00669,-0.125
17.8,0.3783,3.6,168.9,0.01927,1.228
